№,Имя,Name,Воспоминание,Translation,Translation footnote,Пол,Кол-во,Возраст,Ориентир возраста,Мотив,Лица,Предметы,Цвета,Звуки,"Запахи, вкус",Другие ощущения,Сущности,Пространство,Время дня,Время года,Поведение,Комментарий
409,-,-,Как меня одевали и вели кушать в какой-то ресторан. Года три-четыре.,,,-,1,3-4,-,одевение,-,-,-,-,-,-,одевают и ведут кушать,помещение,-,-,пассивное,
410,Марго,Margo,"Запах маминых духов, морозное утро и скрип снега по пути в садик, на губах — гигиеническая помада «Маленькая фея». Возраст, в котором себя помню хорошо — года три.",,,ж,1,3,-,путь до детсада,мама,-,-,-,запах маминых духов,гигиеническая помада на губах,снег,-,утро (?),зима,пассивное,
411,Лера,Lera,"Около 5 лет. Мы жили на Набережной Днепра и часто там гуляли. Я помню как бегу по газону, спотыкаюсь о небольшую трубу в траве (наверное, система полива), падаю, ударяюсь головой о другую широкую трубу, разбиваю голову и громко плачу. Обе трубы были зеленого цвета.

Следующее воспоминание в этот же день, где я уже не плачу. Мы сидим в зале у нас дома, я у бабушки на коленях с перебинтованной головой, мы все ждем скорую, бабушка поет мне разные песни, мне скармливают все сладкое в доме.

Следующее воспоминание — я лежу на операционном столе, меня слепит операционная лампа, из-за нее я почти не вижу ничего вокруг. К столу подходит женщина в белом халате, широко улыбается и спрашивает: ""Ты хочешь, чтобы тебя оперировал дядя или тетя?"". Я начинаю громко плакать, больше об этом ничего не помню.

Никаких последствий от травмы в дальнейшей жизни я не испытывала. Следующие детские воспоминания связаны уже с младшей школой, начиная с этого времени я помню себя гораздо чаще. ",,,ж,3,5,травма,"прогулка, бег, травма, на коленях, операция, искусственный свет, цепочка воспоминаний","бабушка, врачи","трубы, белый халат (одежда)",зеленый,"собственный плач, пение бабушки",все сладкое в доме,"спотыкаться о трубу, падать, ударяться головой",газон,"на улице, больница",-,-,"активное, пассивное",цепочка воспоминаний как одно воспоминание
412,Даша,Dasha,"Папа покупает мне куклу. Он не живёт с мамой. Кукла очень красивая, мы с родителями идём гулять дальше.

Дядя кладёт под ёлку игрушку — рыжий пушистый тигр. Я думаю, что это был Дед Мороз.

Мне около 4–5 лет, я лежу на разобранном бабушкином диване, время спать. В голове мысли о смерти. Отчётливо вижу, как когда-то не станет моей бабушки, потом мамы, других моих родственников, меня. Страшно, не хочу чтобы кто-то умирал, не хочу умирать, начинаю тихо плакать.",,,ж,3,4-5,развод родителей,"игрушка, мысли о смерти","папа, мама, мужчина, бабушка","кукла (игрушка), рыжий пушистый тигр (игрушка), диван (мебель)",рыжий,собственный плач,-,отчетливо представлять как не станет всех родственников,-,диван (комната),вечер,-,пассивное,
413,Муза,Muza,Запуск Спутника. Мне было полтора года. Все вышли во двор и смотрели на ночное небо. Я была завернута в одеяло.,,,ж,1,1.5,запуск Спутника,"теснота, укутывание",все,одеяло,-,-,-,-,ночное небо,двор,ночь,осень,пассивное,
414,Саша,Sasha,"Мне ориентировочно три с половиной года, а может, четыре с половиной. Лето, я иду с дедушкой домой по двору, расположенному через дорогу от нашего дома. Во дворе находится уже полуразломанная сцена для выступлений и несколько деревянных лавочек, на которых сидят люди. Этот двор и сцену я много раз до этого видела, но на этот раз она меня заинтересовала. Дедушка ведет меня за руку и что-то рассказывает, у меня хорошее настроение, мне весело слушать дедушку.",,,ж,1,3.5-4.5,-,прогулка,дедушка,"полуразломанная сцена, деревянные лавочки",-,рассказ дедушки,-,"интерес к сцене, хорошее настроение, весело слушать дедушку",-,двор (на улице),-,лето,-,
415,Алиса,Alisa,"Содержание было таким: я маленькая, меня выносят из полутёмного помещения на руках, проносят через небольшой, ещё более тёмный коридор, и я оказываюсь в довольно светлой комнате, где за длинным и, кажется, деревянным дощатым столом сидят люди. То ли все они, то ли некоторые из них - мужчины в солдатской форме. Человек, у которого я на руках (мама или папа), даёт мне попить воды. Я пью и эдак довольно протяжно выдыхаю: кхааа! Люди за столом добродушно смеются и изображают меня, вот этот звук. Всё.

Однажды, когда я была уже в довольно сознательном возрасте (лет двенадцать или больше), отец при мне ударился в воспоминания и стал рассказывать, как я встречала свой самый первый Новый год у него на службе - мы с мамой приезжали в Сов. Гавань, где он служил старшим лейтенантом (в медицинском до этого была ""военка"", отсюда звание), и некоторое время там прожили, снимая комнату в домике у одной своеобразной старушки (о ней и о её внучке у меня тоже сохранилось несколько мелких и смутных воспоминаний). Вспоминая тот самый ""первый Новый год"", папа упомянул, что дело было в части, они с мамой и несколько сослуживцев с жёнами отмечали за столом, а я ""спала в соседней комнате, закутанная и обложенная ТЭНами"". Мне было полгода, а точнее - шесть месяцев и двадцать один день. Я уточнила у отца, были ли сослуживцы одеты в форму. Он сказал, что вроде были и даже наверняка. Тогда я спросила, выносили ли меня в комнату со столом и давали ли воды (вполне возможно) и уточнила, располагались ли комнаты относительно друг друга определённым образом - из ""моей"" комнаты нужно было пройти налево по коридору, затем справа находился вход в комнату со столом, - именно так всё и оказалось.

Сейчас, перед тем, как написать, позвонила маме и уточнила у неё, не бывали ли мы в той военной части (или в какой-нибудь другой части) ещё раз, когда я была постарше. Но нет, не бывали. И хоть она считает, что это слишком ранний возраст для воспоминаний, но подтвердила, что такой случай вполне вероятно происходил в тот Новый год и обстановка вполне соответствовала моему описанию. Так что, если это не какой-нибудь дорисованный моим сознанием рассказ о том вечере, который я могла бы слышать уже года в два-три от родителей (хотя я всегда этот случай вспоминала ""от первого лица"" и достаточно расплывчато - точнее, детали есть, в том числе звуки, но их очень немного, - что делает его похожим по ощущениям на другие реальные воспоминания), то вот - первое воспоминание полугодовалого человека.",,,ж,2,0.5,подтверждение родственников,"на руках, смех людей","люди, родитель",длинный стол,-,добродушный смех людей за столом и изображение малыша,вода,"пить воду, протяжно выдыхать",-,коридор,-,-,пассивное,
416,Нина,Nina,"Зимой меня всегда катали в коляске или в санках, а папа сказал, что я уже большая и могу без санок гулять. Вышли мы на улицу, я стою и не знаю, что делать, он меня куда-то за руку тащит, а я не понимаю, как так можно идти — так же как дома, но только на улице! Но потом понемножку научилась, мне очень понравилось. И когда домой вернулись, все так меня хвалили!

Ещё помню вкус гретого творога. Меня этим кормили каждый день. Утром на улице бывало очень холодно, мама с бабушкой одевали меня в детский сад как светофорчик: сначала красную кофту, потом жёлтую, потом зелёную. А потом, конечно, шубку. Но в детском саду нянечка, которая одевает нас на прогулку, как-то отказалась со мной играть в светофорчик: говорит, мне на улице будет жарко. Это очень несправедливо! Гуляю, а сама думаю: вот заберут меня, тогда я всё про вас расскажу, и вы у меня попляшете! Мне три года было.
",,,ж,2,3,детский сад,"прогулка, обучение, несправедливость","папа, бабушка","кофты, цвета которых образуют светофор (одежда)","красный, желтый, зеленый","голос папы, голос нянечки",вкус гретого творога,чувство несправделивости,похвала,"на улице, детский сад",утро,зима,активное,
417,Женя,Zhenya,"Петербург, март или апрель 1992-го года. Отец приводит в садик (скорее всего, в первый раз). Воспитательница спрашивает меня, сколько мне лет. Я почему-то ничего не говорю, но показываю пальцами: два. Она говорит: ""Ну надо же, говорить не умеем, а цифры уже знаем"". Не помню, почему я не ответил голосом.

Тот же самый садик. Там во дворе было какое-то крыльцо, видимо, довольно высокое. По-видимому, я почему-то постоянно хотел залезть на крыльцо, а воспитательница не пускала. В какой-то момент я на это крыльцо всё-таки залез, и тут за мной пришла мама, а я этого не заметил. Снизу подошла воспитательница, неожиданно подняла меня и забрала с крыльца, а потом поставила перед мамой и начала рассказывать: мол, нельзя туда залезать, у нас в группе был случай, что один ребёнок залез туда, ""полетел и сломал себе ногу"" (помню дословно). Поскольку я не сразу понял, что меня сняла с крыльца воспитательница, мне казалось, что это я упал с крыльца и сломал ногу. Что это значило, я толком не понимал, но было очень стыдно. При этом мама совсем никак не отреагировала - я скорее сам испугался. Тут, кстати, интересно отметить, что ногу сломала моя бабушка, когда мне был один год - естественно, я этого ещё не мог запомнить, да и вообще меня тогда там не было, но наверняка мама часто об этом говорила дома. Видимо, поэтому я толком не понимал, что значит ""сломать ногу"", но чувствовал, что это ужасно или как минимум очень плохой поступок.

Помню свою одежду в тот момент - и во время первых воспоминаний, и во время вторых. Она одна и та же: голубые резиновые сапоги и коричневая синтетическая куртка, у которой были завязки, на которых были надеты круглые пластмассовые шарики с кнопками. Когда кнопка была нажата, шарик ездил по завязке.

А ещё я помню такое. В детстве у меня была привычка перед сном забираться между одеялом и пододеяльником. Там было очень необычно и интересно: одеяло казалось полом, а пододеяльник - потолком. Как в каком-то лесу. И судя по тому, что мне разрешали там ползать, я явно был очень маленький, как минимум по размеру. А вот потом мне начали это запрещать в крайне жёсткой форме - наверное, я стал слишком большой и пододеяльник от такого начал рваться.",,,м,3,2,детский сад,"впервые, непонимание, игра","папа, воспитательница, мама","резиновые сапоги, синтетическая куртка с завязками и кнопками-шариками (одежда), пододеяльник","голубой, коричневый",голос воспитательницы,-,"стыд, забираться между пододеяльником и одеялом",-,"детский сад, между пододеяльником и одеялом (помещение)",-,-,активное,
418,Лина,Lina,"Мне снится сон про то, что я гуляю по пустынному шоссе с игрушечной коляской и каким-то взрослым незнакомый юношей. Серое низкое хмурое небо, вокруг шоссе всё пустынно. Но слышится шум, и мы видим, что это фашисты. Юноша спрятался за какой-то придорожный куст и дрожит. Подъезжает колонна танков и мотоциклов. Я бросаю коляску с куклой и бросаюсь бежать прочь от шоссе, по какой-то узкой тропинке и слышу за спиной рёв мотора. Мотоциклист устремляется за мной. И я бегу и бегу напуганная, и внезапно хочу в туалет, но я не понимаю, он гонится за мной или нет, боюсь остановиться, чтобы проверить, и писаюсь... Просыпаюсь. Как обычно, я описалась. Раннее утро, все ещё спят. Я привычно перебираюсь досыпать в постель к спящим родителям. Возраст года три.",,,ж,1,3,-,"сон, испуг, бег, пробуждение","незнакомый юноша, фашисты, родители",игрушечная коляска,серый,рёв мотора,-,описаться,-,пустынное шосе,утро,-,пассивное,
419,Полина,Polina,"Я лежу на диване в красном зимнем комбинезончике, 31 декабря, или 1 января, мы собираемся на городскую площадь, включён телевизор. Учитывая что день рождения у меня в апреле, а это Новый год, мне или восемь месяцев или год и восемь месяцев.

Довольно давно рассказала маме об этом воспоминании (возможно с ещё меньшими подробностями), и она говорила что да, было такое, а на площади со мной фоткались люди: «из-за красного комбинезона ты была как маленький Дед Мороз».",,,ж,1,0.67-1.67,Новый год,встреча Нового года,семья,телевизор,-,-,-,-,-,диван (помещение),-,зима,пассивное,
420,-,-,"Мне года три. Зима. Я стою в темном подъезде в шубе в валенках.  В общем в не очень удобной одежде,  а бабушка смазывает мне щеки подсолнечным маслом. Запах нерафинированного подсолнечного масла.",,,ж,1,3,-,взаимодействие со взрослым,бабушка,"шуба (одежда), валенки (одежда), ",-,-,запах нерафинированного подсолнечного масла,"темнота, неудобство одежды, щеки смазывают подсолнечным маслом",-,подъезд,-,зима,пассивное,
421,-,-,"Дико ору, надо мной обеспокоенное лицо женщины со шприцем и все вокруг красное и мне очень-очень жарко. 

Мне было меньше года, и по словам матери у меня была температура под 42, вызвали врача и она делала мне укол.",,,-,1,<1,подтверждение родственников,болезнь,женщина со шприцем,шприц,-,собственный крик,-,жарко,-,помещение,-,-,пассивное,
422,Саша,Sasha,"C учетом содержания моих воспоминаний чувствую важным уточнить, что я атеист, мои родители тоже, и воспитывали меня именно они, а не бабушки-дедушки.

Самое первое, что я помню, — это, кажется, сон. Я — золотой головастик; но не сперматозоид, а довольно детальный морской конёк с закрученным хвостиком. Лечу в тёмном пространстве, в золотисто-коричневой цветовой гамме голландских натюрмортов. Потом я вижу, что нас таких летит много — к единому центру мягкого золотого сияния, похожего на пыльные лучи летнего солнца. Я понимаю, что в этом центре — Богородица, и даже смутно различаю её черты.

Я завязываю на себе короткую красную вязаную тряпку — слишком маленькую для шарфа. Не знаю, что это было, она едва сходится на моей детской шее. Тем не менее, я очень горда тем, что сумела сама завязать узел. Я поднимаю глаза на маму и спрашиваю, сколько мне лет. Она с улыбкой отвечает: «по-прежнему два».

Я лежу в кроватке и смотрю на вырезанную из журнала репродукцию, которая над этой кроваткой висит. На репродукции то ли Иисус, то ли просто какой-то святой стоит на коленях и молится на свечу, расположенную от него в дальнем углу. Больше там ничего нет — только чёрный фон и какой-то камень. Если честно, я не уверена, что есть и свеча. Я грустно думаю о том, что эта картина очень тоскливая, а мне куда больше нравится лунный пейзаж, висящий на другой стене — которой из кроватки не видно.",,,ж,3,2,внутреннее содержание,"сон, солнечный свет","морской конёк с зкрученным хвостиком, мама","вязаная тряпка, репродукция из журнала","золотой, золотисто-коричневая цветовая гамма, красный",разговор с мамой,-,"леть сквозь темноту, смутно различать черты Богородицы, гордость, что сумела завязать узел, тоскливость картины",-,"сон, кроватка (помещение)",-,-,"активное, пассивное",предваряющее уточнение
423,-,-,"Я сижу в деревянных яслях и смотрю сквозь прутья, оглядывая комнату. Тогда я ещё не мог самостоятельно ходить, хотя и в состоянии был встать, держась за что-либо.",,,м,1,-,неумение ходить,"сидение, наблюдение",-,прутья,-,-,-,-,"не уметь самостоятельно ходить, быть в состоянии встать",деревянные ясли (комната),-,-,пассивное,
424,Алика,Alika,"Мне три с половиной года. Зима. 7 утра. Мама работает в роддоме, ей к 8-ми на работу. Киев, папа военный, учится в академии. Мы приехали из Германии, где я родилась. Очень темно. Мама оставляет меня у закрытых дверей детского сада. Так можно, это 1970 год. Ничего не страшно. Я не плачу. Потому что мамочка сейчас достанет из сумки пакетик порошка. Это аскорбинка. И я буду по чуть-чуть слизывать с бумажки, пока не придёт дворник или воспитательница.",,,ж,1,3.5,детский сад,ожидание,"мама, папа, дворник или воспитательница",пакетик порошка аскорбиновой кислоты,-,-,аскорбиновая кислота,очень темно,-,детский сад,утро,зима,пассивное,
425,Ирэн,Iren,"Самое яркое, что я помню всю жизнь, как тянусь вверх на носочках, держась за край тумбы трюмо, и вижу себя в зеркале, а за мной - всю комнату в бабушкином доме. Мама утверждает, что мне не было в то время двух лет.

Еще отчетливо помню клетчатое зеленое покрывало перед глазами с пятном зеленки на нем. Плед покрывал спинку дивана, где я лежала. Также я помню одну из стенок своей кроватки из плетеной белой проволоки, такой толстой.",,,ж,2,<2,подтверждение родственников,"зеркало, предмет",мама,"тумба трюмо, зеркало, клетчатое покрывало с пятном зелени, стенка кроватки из толстой плетеной проволоки","зеленый, белый",-,-,тянуться вверх на носочках,-,комната в бабушкином доме,-,-,активное,
426,Ася,Asya,"Думаю, это когда мне было года три, и я уронила чашку сестры. У нас, кажется, были похожие чашки, но они должны были различаться, потому что я точно знала, какая предназначена сестре и какая мне. И вот мы сидели вместе на кухне за столом, пили чай, и я каким-то образом уронила её чашку, и ручка отбилась. Я страшно расстроилась, и мне было очень стыдно, но я была удивлена тем, что родители меня не ругали, а утешали.",,,ж,1,3,-,"сломать вещь, удивление","родители, сестра",чашка сестры,-,-,чай,"стыд, расстраиваться из-за того, что разбила кружку сестры, удивляться, что родители не ругают, а утешают",-,кухня,-,-,пассивное,
427,-,-,"Мне меньше года, все разворачивается на старой квартире. В средней, проходной комнате древний телевизор, стенка с сервизами, диван, на котором усаживали гостей и ковёр. Это зима, день, потому что за окном светло и снежно. Я сначала лежу в кроватке и почему-то плачу бесперебойно, но лежу в другой комнате, не в той, которую описала в начале. Это дальняя родительская. Меня забирает мама и переносит в среднюю комнату — к нам в гости пришли бабушка и дедушка. На бабушке что-то вроде леопардовой водолазки, на дедушке много темного и пиджак из плотной грубой ткани. Дед берет меня на руки, я перестаю плакать. Взрослые о чём-то говорят, потом дедушка и бабушка уходят к себе домой.",,,ж,1,<1,место,"гости, на руках","мама, дедушка, бабушка","телевизор, стенка с сервизами, диван, ковер, бабушкина леопардовая водолазка (одежда), дедушкин пиджак из грубой ткани (одежда)",-,"собственный плач, разговор взрослых",-,"светло, снежно",-,кроватка (помещение),день,зима,пассивное,
428,Лена,Lena,"Я стою в металлической кроватке и передо мной прабабушка. Прабабушка умерла, когда мне было три года, то есть это до трех лет.",,,ж,1,<3,смерть родственника,"наблюдение взрослого, стояние",прабабушка,металлическая кровать,-,-,-,-,-,металлическая кровать,-,-,пассивное,
429,-,-,"Четыре года. Помню, как заболела. Не могла ночью заснуть от кашля, и мама давала мне сироп ""Доктор Мом"".

И как в детский сад вели знакомиться с группой. Только как по лестнице шли запомнила, светлые стены и много растений. Очень красивый интерьер.",,,ж,2,4,детский сад,"болезнь, не заснуть, лестница",мама,множество растений,-,-,сироп от кашля,"не заснуть от кашля, красота интерьера",-,"помещение, детский сад",-,-,пассивное,
430,Лоля,Lolya,"Примерно полгода. Я лежала на коленях у тёти, и она мне вложила в рот жвачку. Я её проглотила, и ей это не понравилось.",,,ж,1,0.5,-,на коленях,тетя,жвачка,-,-,-,проглатывание жвачки,недовольство взрослого,-,-,-,-,
431,Теххи,Tehhi,"Мне ещё нет года, так как я лежу в своей красной лежачей коляске и с упоением колочу по погремушкам, этакой нитью висящей сверху. Вокруг нас двор около дома. Снаружи или холодно или я просто мешаю маме, но она укутывает мои руки в одеяло и застегивает на молнию коляску (как бы ту часть, которая малыша в одеяле от дождя, например, закрывает. И я очень обижаюсь, потому что было же так круто и интересно колошматить по погремушкам.",,,ж,1,<1,коляска,"укутывание, обида",мама,"лежачая коляска, одеяло",красный,погремушки,-,колотить по погремушкам,-,лежачая коляска (на улице),-,холодное,пассивное,
432,-,-,Я помню как мама отдалялась от меня. Когда не могла держать грудную меня на руках. Это чувство отдаления растёт до сих пор.,,,ж,1,<1,-,"на руках, отдаление взрослого",мама,-,-,-,-,как отдалялась мама,-,-,-,-,пассивное,
433,Линда,Linda,"Мне около двух лет, я стою с мамой в поликлинике, возле меня на полу несколько горшков с цветами, во рту у меня соска. Помню еще нежно-фиолетовый цвет, но цвет чего — не помню. Рассказала как-то об этом маме, от нее узнала, что у меня был фиолетовый комбинезончик годика в два.",,,ж,1,2,"цвет комбинезона, подтверждение родственников",наблюдение,мама,"горшки с цветами, соска",нежно-фиолетовый,-,-,соска во рту,-,поликлиника,-,-,пассивное,
434,Полина,Polina,"Первое очень размытое воспоминание было примерно года в два. Я сидела в своей белой детской кроватке и качалась, а потом каким-то образом выпала из нее и плакала.

Первое четкое. Бабушка сильно болела раком, и меня к ней не пускали. Я схватила большую желтую книгу «Приключения Каштанчика» и пробежала к ней, чтобы она мне её почитала. Она сидела на кровати у окна. Бабушка умерла, когда мне исполнилось три, значит, воспоминание примерно в 2,5 года.

Помню, как дедушка варил бабушке овсяную кашу, потому что она толком ничего не могла есть, как она лежала в кровати. А на кровати обычно было цветастое бирюзово-белое покрывало.",,,ж,3,2; 2.5,смерть родственника,"кровать, качание, плач, болезнь родственника","бабушка, дедушка","книга, овсяная каша, покрывало","белый, желтый, бирюзово-белый",собственный плач,овсяная каша,-,-,детская кроватка,-,-,активное,
435,-,-,"Есть калейдоскоп каких-то вспышек: снег, красный комбинезон, потолок и тени, покрывало с леопардом, какая-то еда на тарелке, которые, кажется, относятся к первым годам жизни. Что-то из них может быть ложной памятью (как картинка, где я глотаю канцелярские кнопки, это мне знакомо только по рассказам, или как откушенный стакан, этот эпизод точно был, но позже).

Воспоминание, которое лежит в моей голове как первое цельное: мне три или четыре года, я сижу на полу, на ковре, и вожусь с машинкой, которую принес тогда еще живой дедушка, он помнится коричневым, по рубашке или, может, пиджаку, рядом на полу такие большие плоские подушки-матрасы, не знаю, как их назвать, по крайней мере одна из них в розовом чехле из какой-то синтетической чуть шуршащей ткани (помню ее наощупь). На ковер, возможно, падает солнце. ",,,-,1,3-4,смерть родственника,"ложное воспоминание, сидение, игра",дедушка,"комбинезон (одежда), покрывало с леопардом, еда на тарелке,  машинка (игрушка), ковер, плоские подушки-матрасы","красный, коричневый, розовый",чуть шуршащая ткань,-,помнить наощупь шуршащую синтетическую ткань,"потолок, тени, солнечный свет",помещение,-,-,активное,калейдоскоп вспышек
436,Ксюша,Ksyusha,"Очень хорошо помню, как стою в детской деревянной кроватке, держусь руками за ""прутья"" и смотрю по телевизору фильм. Было темно, и родители были уверены, что я сплю, так что мне условно ""досталось"" за нарушенный режим. Фильм был ""Клан пещерного медведя"" 1986-го года, телик был чёрно-белый. Эпизоды фильма до странного хорошо запомнились - часть, где главную героиню изгоняют из племени, как она рожает в изгнании, или как обращается с пращой. Фильм, в общем, содержал ряд так-себе сцен сексуального насилия, но, естественно, я не понимала что это. В фильме есть сцена, где у претендента на роль вожака (собственно, насильника героини) в один момент не получается совершить соитие, и над ним потешается всё племя. Я его запомнила, но была уверена что это значило что героиня его каким-то образом ""поборола"", что он не смог её столкнуть или типа того. По возрасту сложно сказать, сколько мне было. Точно до четырёх, но, полагаю, на тот момент мне было около двух лет.",,,ж,1,2-4,-,"кровать, стояние, телевизор",родители,телевизор,белый,-,-,темнота,фильм,комната,вечер,-,пассивное,
437,Даша,Dasha,"Мне два года. Дедушка, которого я больше не видела, потому что он умер, берет меня на руки и носит по двору деревенского дома, показывает пилораму, какие-то станки, цыплят. Помню запах опилок в его мастерской. Позднее, будучи уже взрослой, нашла пленочную фотографию этого дня.

Тоже примерно два года. Я лежу в больнице, в вену вставляют катетер капельницы, кричу, потому что игла больно входит в кожу. Проходит пару минут, во время которых я смотрю на таракана, бегущего по стене. Приходит медсестра, я снова кричу, потому что она вынимает иглу, к которой я только привыкла.",,,ж,2,2;2,смерть родственника,"единственное воспоминание о родственнике, на руках, больница","дедушка, цыплята, таракан, медсестра","станки, игла катетера",-,собственный крик,запах опилок,быть несомой,-,двор (деревня),-,-,пассивное,закрепление через фотографию
438,Таня,Tanya,"Мне чуть больше года, учусь ходить. Комната огромная, бесконечная, много солнца. Как будто очень далеко стоит большая красивая кукла. Я хочу ее потрогать, стою, но очень боюсь сделать шаг, упасть. Кто-то поддерживает меня, помогает сделать первые шаги.",,,ж,1,1,-,"солнечный свет, активность, обучение ходьбе",кто-то,большая красивая кукла (игрушка),-,-,-,"огромность комнаты, хоть потрогать комнату, бояться сделать шаг,  бояться упасть",учиться ходить,комната,-,-,пассивное,
439,Юля,Julja,"Мой папа был оператором и у нас есть огромная видеотека нашего детства чуть ли не с самого рождения. Из-за этого я не могу осознанно разделять — где то, что помню я, а где то, что снимал папа и я смотрела. Или что рассказывала мама. 

Зима. Мне два-три года, мы живём в Якутске, там один из бесконечных зимних месяцев, и мы идём гулять. На мне куча одежды, я как плюшевый медведь, в валенках, кругляшок, а сверху шуба смешная жёлтая с черными пятнышками. И у меня только передние зубы выросли. Выкатываюсь из подъезда, и первым делом спотыкаюсь о порог, падаю на бровку, ломая пополам эти самые передние зубы. Чувств не помню, поэтому кажется, что это не мое воспоминание.

А точно мое очень позднее. Мне лет пять, я хожу в школу раннего развития, и у меня там куча уроков — от английского до информатики. Мы сидим в большом светлом полукругом зале, и дисциплину определить невозможно, потому что мы делаем оригами коробочки, которые рассказывают какую-то историю. У всех все получается, а у меня нет, и я смотрю по сторонам кто куда чего крутит. Поворачиваюсь, а на уровне моих глаз учительница, и я ей говорю, что ничего не выходит. А она улыбается, показывает какой-то один сгиб, и все получается. В этот момент я вдруг замечаю какой красивый свет в зале, и какая сказка интересная, учительница красивая и добрая, и какое чудесное это занятие, оно последнее, внизу ждёт мама и сейчас я ее порадую сказкой.",,,ж,2,2-3;5,-,"ложное воспоминание, травма, красота мира","учительница, мама","валенки (обувь), смешная шуба (одежда)","желтый, черный","собственный голос, голос учительница",-,"бесконечность зимнего месяца, быть круглым от большого количества одежды, спотыкаться о порог, ломать передние зубы, ощутить красоту мира",-,"перед подъездом (на улице), школа раннего развития",-,зима,активное,"не помнить чувств, видеотека"
