№,Имя,Name,Воспоминание,Translation,Translation footnote,Пол,Кол-во,Возраст,Ориентир возраста,Мотив,Лица,Предметы,Цвета,Звуки,"Запахи, вкус",Другие ощущения,Сущности,Пространство,Время дня,Время года,Поведение,Комментарий
693,Маша,Masha,"Полет в самолёте. Бегала по самолёту, устала, прибежала к маме обняла за колени и уснула. Мама увозила меня из Украины к бабушке в Сибирь и оставила с ней жить.","Flying in an airplane. Run by the plane, was tired, came running to mom hugged her knees and fell asleep. Mom took me from Ukraine to her grandmother in Siberia and left her live with her.",,ж,1,2.75,переезд,"полёт, активность, взаимодействие с родителем, уставание, засыпание",мама,-,-,-,-,"бег, уставание",-,самолет,-,-,активное,
694,Ксе,Kse,"Около 2,5. Меня привели в ясли, это была трагедия, помню, как стенала. Тогда я впервые почувствовала то драматичное чувство, что называется ""будто сейчас умру"", потом это чувство часто меня преследовало. Какая-то тётя, подвела меня к круглому аквариуму и я стояла рядом с ним,  глядела сквозь рыжих рыб и в полном отчаянии умирала. Слышала, как мама о чем-то говорила с воспитательницей, а потом я поняла, что она ушла. ","About 2.5. I was led to Nurserie, it was a tragedy, I remember how the Penal. Then I first felt that a dramatic feeling, what is called ""as if I die now,"" then this feeling often pursued me. Some kind, led me to the round aquarium and I stood next to him, looked through red fish and died in complete despair. I heard my mother talking about something with the educator, and then I realized that she was gone.",,ж,1,2.5-3,ясли,быть покинутым,"воспитательница, мама, рыбы",аквариум,рыжий,собственные стенания,-,"трагедия, ""будто сейчас умру""",-,помещение,утро или день,-,активное,
695,-,-,"Зима, деревня. Меня куда-то долго везут в санках, на улице темно, я сплю. И вдруг останавливаемся, мне разворачивают рот и начинают кормить чем-то горячим из термоса. Помню так, что я просыпаюсь и сразу чувствую что-то странное: во рту мне тепло, и снаружи тепло, а снаружи рту и носу холодно. Как будто солнечное затмение - корона состоит из холода, а всё остальное из тепла, и к тому же надо срочно жевать.","Winter, village. I was lucky for a long time in sleds, it's dark on the street, I sleep. And suddenly you stop the mouth, I turn the mouth and begin to feed with something hot from the thermos. I remember that I wake up and immediately feel something strange: in my mouth it is warm me, and outside warm, and outside the mouth and the nose is cold. As if the solar eclipse - the crown consists of cold, and everything else from heat, and besides, it is necessary to urgently chew.",,ж,1,1.5,подтверждение родственников,быть везомым,-,"санки, термос",-,-,что-то горячее из термоса,"горячо во рту, холодно снаружи рта и носа, корона из холода",темнота,на улице (деревня),не день,зима,пассивное,
696,Аня,Anya,"Нахожусь в кроватке. Борты прутьями. Всё оранжево от обажура. Лицо мамы склонившейся надо мной. Я отчетливо и внятно рычу ""Р"" звук, пропевая. Улыбка мамы. Мне было около года.","I am in the crib. Side rods. All orange from the obasuria. Mom's face clung to me. I am distinctly and distinctly ""R"" sound, propelting. Smile mom. I was about a year.",,ж,1,1,-,"взаимодействие с мамой, произнесение звука",мама,абажур,оранжевый,"""р""",-,-,"оранжевый свет, улыбка мамы, прутья крвоатки",детская кровать (комната),-,-,активное,
697,Марина,Marina,"Ведро, в котором плавают морские коньки. Берег моря. Мальчишки. Блюдо с вареными креветками, очень яркими. ","A bucket in which sea skates float. Sea shore. Boys. Dish with boiled shrimps, very bright.",,ж,1,0.83,первая поездка на море,поездка на море,мальчики,"ведро с морскими коньками, блюдо с яркими креветками",-,-,-,-,-,берег моря,не ночь,не зима,пассивное,
698,Настя,Nastya,"Глаза куриц. Видимо, на даче бабушка с дедушкой куриц выпустили погулять, и я помню, как бегут вокруг меня курицы, их много, они близко, и это странные, страшные существа ростом почти с меня. Я испугалась, но никто меня не клюнул и не причинил вред.","Chicken eyes. Apparently, at the cottage, grandpa with grandfather chickens were released, and I remember how the chicken flew around me, they are close, they are close, and these are strange, terrible creatures in almost me. I was frightened, but no one nodded and did not harm me.",,ж,1,1,пространство,"взаимодействие с животным, страх",курицы,-,-,-,-,страх,-,дача,не ночь,не зима,пассивное,
699,Саша,Sasha,"У меня день рождения. Я стою в своей комнате с гостями; обращаю внимание на обои с собачками и осознаю, насколько они красивы.",It's my birthday. I stand in my room with guests; I pay attention to wallpaper with dogs and realize how beautiful they are.,,ж,1,3-4,-,"день рождения, наблюдение",гости,обои с собачками,-,-,-,красота обоев,-,комната,не ночь,-,пассивное,
700,Галя,Galya,"После войны уже, мне два года. Все ушли хоронить бабушку, а я сижу на горшке и плачу, что меня все оставили. Или в шесть лет меня привезли в больницу на операцию, но возле входа в отделение стояли два детских гробика, я выбежала в дверной проем и побежала в сад, мама догнала меня  и больше мы туда не вернулись. ","After the war, I am two years old. Everyone left to bury my grandmother, and I sit on a pot and crying that everyone left me. Or at six years I was brought to the hospital for the operation, but there were two kindergartens in the entrance to the department, I ran out in the doorway and ran to the garden, my mother caught up with me and we didn't return there.",,ж,2,2; 6,"война, похороны","одиночество, видеть неприятное, бег","бабушка, мама",детский гроб,-,-,-,"сидеть на горшке, выбегать в сад",-,"помещение, больница, сад",не ночь,-,"пассивное, активное",
701,Вадим,Vadim,"Потолок перед моими глазами покрыт черным движущимся ковром. Из мух. Они занимают, кажется, не меньше четверти площади потолка большой комнаты. Я смотрю секунды, минуты — и вместо сплошного странного черного на белом ковра начинаю различать отдельных насекомых, которые двигаются, с одной стороны, хаотично, с другой — их движения явно подчинены некоему странному порядку или алгоритму, набору правил. Ими движут очень странные силы — какие-то живые, что-то ищущие (наилучшего локального положения) потоки энергии внутри их маленьких тел.

Старшие, используя угловатый советский отвратительный внешне пылесос из неприятных материалов, собирают им мух с потолка — они исчезают в конце трубы, попадая в эту шумную странную квадратную ловушку, наполненную грязью и странными энергиями, подающимися из стены и далее откуда-то издалека. ","The ceiling in front of my eyes is covered with a black moving carpet. From flies. They occupy, it seems, not less than a quarter of the ceiling area of ​​a large room. I watch seconds, minutes - and instead of a solid strange black on a white carpet, I begin to distinguish between individual insects, which move, on the one hand, chaotically, on the other, their movements are clearly subordinated to a certain strange order or algorithm, a set of rules. They drive very strange forces - some live, something seekers (the best local position) energy flows inside their small bodies.

Seniors, using an angular Soviet disgusting externally vacuum cleaner from unpleasant materials, collect them flies from the ceiling - they disappear at the end of the pipe, falling into this noisy strange square trap, filled with mud and strange energies that are served from the wall and then from afar.",,м,1,1-3,-,"наблюдение за насекомыми, наблюдение за родественниками",старшие,потолок,"белый, черный",-,-,-,движущиеся мухи,комната,-,-,пассивное,
702,Андрей,Andrey,"Я иду с бабушкой и дедушкой смотреть на новорожденного брата домой к родителям. Идем от метро, весна, дедушка в шляпе. Идти до 65-го дома, в 69-м был магазин игрушек. Дедушка говорит: «Давай купим Андрею что-нибудь? Я как раз получил получку». Мне очень врезалось это сочетание: «получил получку», я его проговариваю губами. Бабушка: «Не надо ребенка баловать, тем более у него теперь брат есть». Заходим в квартиру, там мама держит на руках моего брата. ","I go with my grandparents to look at the newborn brother home to my parents. We go from the subway, spring, grandfather in a hat. Go to the 65th home, in the 69th there was a toy store. Grandfather says: ""Let's buy something and something? I just got paid. "" I was very crashed this combination: ""I got paid,"" I speak his lips. Grandma: ""Don't have a child to indulge, especially since he now has a brother."" Go to the apartment, my mother keeps on my brother's hands.",,м,1,2.75,рождение брата/сестры,"рождение брата/сестры, прогулка","бабушка, дедешука, брат, мама",шляпа дедушки,-,"разговор взрослых, повторение фразы",-,"проговаривать губами понравившуюся фразу, движение по улиц",магазин игрушек,улица,день,весна,пассивное,
703,Дина,Dina,"Я лежу на полу, кажется, учусь ползать, на полу лежит большая подушка, на ней — папин портативный радиоприёмник. Папа сидит на диване и не разрешает трогать радио, а я заливаюсь смехом и раз за разом злю папу нарочно, понимая, что он не сердится по-настоящему, мы играем. Комната залита солнцем, мне весело и хорошо. 

У меня стреляет в ушах, ночь, я не могу уснуть и громко реву от боли, мама носит меня на руках по комнате в темноте и пытается успокоить, напевает колыбельную. Несмотря на боль, я рада, что мама со мной и качает меня. 

Еще воспоминание: я просыпаюсь утром, у меня день рождения — 4 года. В комнате солнечно, я рассматриваю подарки и ужасно радуюсь. Мне подарили барби и игрушечный утюжок. 

Еще одно относится, видимо, к 3-4 годам: мы на Волге, в месте, куда ездили отдыхать каждое лето. Я бегу с горки по дорожке, выложенной плиткой, поскальзываюсь и очень больно падаю. Меня пытается поймать мой родственник, он смеется надо мной, а мне ужасно обидно и я реву еще громче. Хорошо помню его смеющееся лиц","I am lying on the floor, it seems, I study crawl, on the floor lies a big pillow, on it - a papin portable radio. Dad is sitting on the sofa and does not allow touching the radio, and I will pour a laugh and once at once with dad, understanding that he is not angry truly, we play. The room is filled with the sun, I am fun and good.

I shoot my ears, night, I can't fall asleep and loudly roar from pain, my mother carries me on his hands around the room in the dark and tries to calm down, sings a lullaby. Despite pain, I am glad that my mother is with me and shakes me.

Another memories: I wake up in the morning, my birthday is 4 years old. In the room sunny, I consider gifts and is terribly happy. I was presented by Barbie and a toy iron.

Another one applies, apparently, by 3-4 years: we are on the Volga, where we went to rest every summer. I run from the slide along the track, laid out with tiles, climb and very hurts. I'm trying to catch my relative, he laughs at me, and I'm terribly insulting and I roar even louder. Well remember his laughing people",,ж,4,0.5-0.7; 3-4,день рождения,"обучение ползанию, боль, взаимодействие с родственником","папа, мама, родственник","радиоприемник, диван, барби, игрушечный утюжок",-,"собственный смех, рев от собственной боли, колыбельная, смех",-,"весело, хорошо, радость быть с мамой",комната залита солнцем,"комната, на отдыхе",день,-,активное,
704,Света,Sveta,"Помню, как лежала на пеленальном столике в детской поликлинике (узнавала её по ярким рисункам на стенах), слышала голоса мамы и бабушки. Мне очень сильно мешала одежда и детский зимний конверт, в который я была завëрнута. Чëткое ощущение, что я хочу, чтобы с меня сняли зимнюю одежду, но не могу никак повлиять на это - говорить не умею. А потом облегчение от того, что с меня кучу тряпок сняли. ","I remember how she lay on a changing table in a children's clinic (found out of her bright drawings on the walls), heard moms and grandmothers. I greatly interfered with the clothes and a children's winter envelope, which I was cooked. The feeling that I want to be withdrawn with winter clothes, but I can not affect it - I do not know how to talk. And then relieving from the fact that with me a bunch of rags removed.",,ж,1,0.4-0.6,детская поликлиника,быть стянутым одеждой,"мама, бабушка","яркие рисунки на стенах, одежда, детский зимний конверт",-,голоса мамы и бабушки,-,"хотеть быть раздетым и облегчение, когда раздели",-,пеленальный столик (детская поликлиника),-,зима,пассивное,
705,-,-,"Помню, как поднимался по лестнице на свой этаж в яслях, помню помещение яслей: бывшая усадьба финского губернатора в Выборге. Потом, уже будучи взрослым, водил туда своего сына на кружок: та же лестница, те же богатые перила. Мне года три, не больше.",,,м,1,3,ясли,движение,-,перила лестницы,-,-,-,подниматься по лестнице,-,ясли,не ночь,-,активное,
706,-,-,Я играю на ксилофоне с черноволосым мальчиком в коридоре моей квартиры. Около полутора лет.,,,ж,1,1.5,-,игра,мальчик,ксилофон,-,ксилофон,-,-,-,коридор (квартира),-,-,активное,
707,Катя,Katya,"Урок рисования в детском саду. Мне не досталось тонкой кисти, чтобы нарисовать снежинки, поэтому рисовала толстой. Потом воспитатель сказала, что получилось некрасиво, а когда она попросила всех детей (даже тех, кто был на других занятиях) подойти к работам, которые им больше всего нравятся, к моей никто не подошёл.",,,ж,1,4-5,детский сад,"урок рисования, несправедливость","воспитательница, дети",кисточка,-,голос воспитательницы,-,никому не нравится твой рисунок,рисование снежинки,детский сад,не ночь,-,активное,
708,Нина,Nina,"Вспоминается очень туманно — значит, мне не больше трёх лет: комната в квартире, где мы жили с родителями всё моё детство (там сейчас живёт папа). Приглушённый тепло-жёлтый свет от настольной лампы, практически оранжевый. Звучит песня «Жил да был чёрный кот за углом». Помню радостное ощущение после строчек «только песня совсем не о том, как не ладили люди с котом». 
Вообще потом много думала об этом коте, как он там.

Ещё одно: папа любил в детстве меня пугать в шутку. Обычно он начинал это словами «а тут из-за дерева выходит Баба Яга». Я пугалась даже в помещениях, хотя понимала, что никаких деревьев там нет и выходить Бабе Яге неоткуда. Однажды мы гуляли по парку, папа спрятался за деревом, но так, чтобы видеть меня. Я осталась одна на небольшой площади у фонтана, смотрела по сторонам. Он быстро вышел и спросил: что бы я делала, если бы и правда потерялась. Ответила, что села бы на пенёк и стала горевать. Наверное, потому что в сказках обычно так поступали.",,,ж,2,"2; 3,5",туманность воспоминания,"прослушивание музыки, взаимодействие с родителем, потерянность","родители, чёрный кот из песни, папа, Баба Яга",настольная лампа,"тепло-жёлтый, оранжевый",песня,-,"радостное ощущение от строчек песни, мысли о коте из песни, искать папу, глядя по сторонам",свет от лампы,"квартира, парк",-,-,"пассивное, активное",
709,Макс,Max,"Лето. Родители только недавно купили мне красивые игрушки. Я счастливый, днями и ночами играл с ними. В какой-то из дней пришёл мой лучший друг Сашка и предложил ""гениальную"" мысль, а что будет если игрушки отправить в плавание по канализации?

У нас не вызвало даже малейшего сомнения в перспективах замышляемого дела. Мы вышли во двор, и начали запускать игрушки в канализационное отверстие. Когда последний пупс был отправлен, в калитку зашли родители.

Как вы поняли, больше мне не покупали игрушки, а друг попал под санкции на некоторое время.",,,м,1,4,-,потеря игрушки,друг,красивые игрушки,-,-,-,"днями и ночами играть с новыми игрушками, потерять игрушки","игрушки, исчезающие в канализационном отверстии",двор,-,лето,активное,
710,Вадим,Vadim,"Я лежу в детской кроватке с деревянными решетками. Темно, в комнате ещё сидит папа в кресле. Очень громко тикают часы. Я в полной уверенности, что это не часы а шагает армия маленьких солдатов, сейчас они подъедят ножки моей кровати и меня съедят.",,,м,1,2-4,-,фантазия,папа,"кресло, часы",-,"громкое тиканье часов, напоминающее армию маленьких солдатов",-,-,темнота,детская кровать (комната),не день,-,пассивное,
711,Полина,Polina,"1. Обычно папа приезжал за мной в детский сад на велосипеде, но в тот день он пришёл пешком, да ещё и со сломанной рукой. И стал гипсом рисовать для меня картинки на асфальте. 

2. Я нашла мертвую бабочку и захотела отнести ее домой. Я свернула на тропинку, по которой всегда срезала угол по пути до подъезда, и вдруг споткнулась о корень какого-то дерева, упала и выронила бабочку. Это была осень, листья уже начали опадать, и бабочка в них и затерялась. Мама мне сказала, что бабочка станет перегноем, и что я могу ее больше не искать, но я до сих пор о ней думаю, когда там прохожу.

3. Я вышла гулять и увидела, что кроме песка на заснеженном тротуаре вдоль всего дома и до соседнего с моим подъезда лежат еловые ветки. Я любила тащить все в дом, поэтому и одну из веток я подобрала, но меня за это отругали и сказали, что нельзя приносить еловые ветки в дом, потому что вместе с ними я принесу смерть. Я узнала, зачем за покойником раскидывают еловые ветки спустя пятнадцать лет. ",,,ж,3,4,детский сад,взаимодействие с родителем,"папа, мама","гипс на папиной руке, мертвая бабочка, листья, еловые ветки","белый, осенние листья, зелень еловой ветви",общение со взрослыми,-,-,"сломанная папина рука, картинки гипсом на асфальте, смерть",улица,-,"осень, зима",активное,
712,Полина,Polina,"Мне очень нравилась книжка про чёрную курицу, но мама ее терпеть не могла, поэтому отказывалась мне ее читать. Поэтому я научилась читать сама. 

Мама поняла, что я умею читать, когда мы ехали в автобусе к ней на работу. Я смотрела из окна и произносила какие-то слова. Мы проезжали кожгалантерею, и я сказала слово «чемодан», и мама удивилась, потому что до этого все прочитанные мною слова сопровождались картинками, а картинки чемодана не было, было только слово. ",,,ж,1,3,обучение чтению,"поездка на автобусе, удивление родителя",мама,книжка про черную курицу,черный,произнесение слова,-,-,-,в транспорте,-,-,активное,
713,Леша,Lyosha,"Ночь. Я проснулся от того, что описался. Мне мокро. Я громко плачу, встаю в кроватке, держусь за кругленькие прохладные перекладинки решётки. Включается неяркий свет торшера, и я вижу, как перед кроваткой, на старом диване с гобеленовой обивкой просыпается мама, у неё кудрявые русые волосы до плеч, отец лежит в бежевой полосатой пижаме, оперевшись на локоть, с слегка перекошенным от света заспанным лицом. Мама садится на диване, вздыхает, поднимается и подходит ко мне, берёт меня на руки.",,,м,1,1.5,,,мама,,,,,,,,ночь,,,
714,Саша,Sasha,"Самый конец девяностых. По вечерам, когда папа не задерживается на работе, перед сном запираемся в комнате, он достаёт проектор и коробку с пленками. Я выбираю сказку на вечер, и мы смотрим диафильмы. ",,,м,1,4-5,,,,,,,,,,,,,,
715,Лера,Lera,"Весна. Я в белом платьице и косыночке. Меня ставят на ножки в коляске и фотографируют на память. Позже это фото будет стоять в серванте, я буду утверждать, что помню, как его делали, а мне будут говорить, что такого не может быть, потому что на фотографии мне чуть больше 2 лет.
Мы переехали жить на дачу, потому что там можно есть то, что сам вырастил, и возить овощи на рынок на продажу, а в городе нет работы и денег, а старшей сестренке скоро поступать в университет. Мама долго везет меня в коляске с остановки, а я все смотрю по сторонам, а вокруг меня - поля и огороды, такие большие, что кажутся бескрайними, и дорога кажется бесконечной.",,,ж,2,2; 3,,,,,,,,,,,,,,
716,Сережа,,"Мой третий день рождения, 95й год. За окном громыхает парад Победы (конечно, тогда я этого ещё не знал, но звуки оркестра помню). В родительской комнате у окна стоит старый советский стол-книжка в собранном виде, на котором сижу довольный я: мне только что подарили огромный пластмассовый жёлтый контейнер на колёсиках, а в нём - конструктор, привезённый отцом-моряком из-за рубежа. Подарок стоит со мной на том же столе. Я радуюсь, машу руками-ногами от счастья, в результате чего контейнер торжественно падает на пол, а одно из двух фиолетовых колёсиков ломается и катится в угол. Помню, что меня не ругали, совсем. А конструктор прожил долгую жизнь и был отдан вместе с контейнером (уже без обоих колёсиков) младшей кузине четырнадцать лет спустя.",,,м,,3,,,,,,,,,,,,,,
717,Даша,Dasha,"Меня взвешивают на детских весах в кабинете педиатра, врач перемещает гирьки пальцем в сторону, отсчитывая: раз, два, три, четыре, пять, шесть, семь, восемь, девять, десять, всё, десять штук. Отходит в сторону, потерев ладонями друг об друга.",,,ж,,1,,,,,,,,,,,,,,
718,Тимур,Timur,"Я помню пыль в солнечном луче и запах сушеных трав. Это дальняя комната в квартире бабушки и дедушки — там стоит комод, в нем лежат матрасы, подушки и одеяла, а на нем сушится мята, душица, иногда яблоки, груши, пастила. Комод в домашнем обиходе называют «антресоли». Иногда, когда в сушке перерыв, на антресолях можно валяться. Вот я валяюсь, дышу и вижу, как пылинки ползут по солнечному лучу, или луч эти пылинки рожает.",,,м,,2-3,,,,,,,,,,,,,,
719,Леша,Lesha,"Операция, первый раз в детский сад.",,,м,,3,,,,,,,,,,,,,,
720,Саша,Sasha,Как я приклеилась языком к металлической лесенке в детском саду на прогулке.,,,ж,,3-4,,,,,,,,,,,,,,
721,Алина,Alina,"Я стою возле детского сада во время прогулки и повторяю про себя слово, которое сама придумала. Его до сих пор никто не знает, кроме меня.",,,ж,,5,,,,,,,,,,,,,,
722,Аня,Anya,"Как я лежала в больнице без родителей. С родителями клали только до года. Помню, у меня была немецкая кукла, такая маленькая. В больнице ее украли, и я очень горевала по этому поводу.",,,ж,,2-3,,,,,,,,,,,,,,
723,-,-,"Я в свой пятилетний день рождения сижу в садике с раскраской и какими-то другими подарками и думаю мысль о том что всё это уже было, точно так же сидела в день рождения одна в садике с раскраской но мне тогда было четыре.

в 5 или 4 в садике забыла на веранде сумку с пластмассовым зайцем и блокнотом а вернувшись их кто-то сжёг. я пыталась их везде найти и в итоге нашёлся только пепел. воспитательница вела себя безразлично. потом я разглядывала цветы которые вьются об ограду и эта воспитательница пришла ругать меня за что-то. у неё был враждебный взгляд.",,,ж,,4-5,,,,,,,,,,,,,,
724,Максим,Maxim,"Вокруг всё белое, я в чём-то тёплом и сижу на санках. Меня куда-то везут. Видел только себя в тёмной зимней одежде, воспоминание на три секунды. 

Потом я в своей кроватке хочу к маме, но боюсь встать на пол и от осознания проблемы просто сдаюсь и ложусь спать дальше. 

Не помню, что из этого было раньше.

Потом, когда уже мог ходить, я упал в канаву. Это воспоминание кажется мне за пределами моей осознанной жизни, поэтому я считаю его одним из первых. И вот я лежу смотрю на небо, даже не понимая, что лежу я в канаве с водой. Кто-то меня потом вытащил и привёл домой.",,,м,,<3,,,,,,,,,,,,,,
725,Соня,Sonya,"Мне исполняется 1 годик. Принесли именинный торт, там была поляна со всякими лесными зверьми и написано моё имя. Мы сидим на кухне с мамой, бабушкой и няней. За окном уже темно, месяц ноябрь. Помню, как сжимаю в руках батарейки. ",,,ж,,1,,,,,,,,,,,,,,
726,Даша,Dasha,"Я в большом и светлом помещении. Подхожу к окну. Мне с моего ракурса совсем ничего не видно - тьма непроглядная. Притаскиваю стульчик и по нему взбираюсь на широкий подоконник. Крупными хлопьями валит снег. Прямо напротив окна разноцветные, с кулак размером, лампочки - гирлянды. До Нового, 2001 года, осталось 2 дня, а мы с мамой в больнице.",,,ж,1,3,,,,,,,,,,,,,,
727,Яна,Yana,"Мне года 3-4. Папа взял меня с собой, мы пошли встречать маму с работы. Город на Крайнем севере, на улице зима — не помню, какой месяц, но уже много снега. Темно, холодно. Я поднимала лицо вверх, чтобы снежинки падали прямо на меня, смотрела на желто-оранжевые фонари, снежинки в их свете тоже казались оранжевыми. ",,,ж,1,3-4,,,,,,,,,,,,,,
728,Полина,Polina,"Плохое воспоминание. Я беру из холодильника глазированный сырок, — точно помню: со сгущёнкой и пингвинёнком на упаковке, — и иду по коридору в свою комнату, а мамин муж догоняет меня, тянет за волосы и отбирает сладость, потому что я ещё не съела премерзкий суп. ",,,ж,1,4-5,,,,,,,,,,,,,,
729,Леся,Lesya,"Пасмурным холодным днём мне исполнилось три годика. Я захожу в зал, где на диване сидит пока незнакомая игрушка – огромный рыжий кот с чёрными пяточками. На мой вопрос, почему у него грязные лапки, дедушка отвечает, что кот топал ко мне на день рождения по улице. Я иду в коридор рассматривать ковролин, пытаясь найти следы, которые оставил новый друг. Из телевизора поют персонажи мультика «Бременские музыканты». ",,,ж,,3,,,,,,,,,,,,,,
730,Регина,Regina,"Песочница, у девочки напротив деревянная лошадка, а у меня кукла. Поменялись, обрадовались. Потом бабушка дала мне конфету барбариску.",,,ж,1,5,,,,,,,,,,,,,,
731,Люба,Lyuba,"Мы сидим за столом: я, бабушка, старшая сестра. Кажется, обедаем каким-то невкусным супом (геркулесовым?). Мне скучно, и я вспоминаю эпизод из сказки про Царевна-лягушку, как она за праздничной трапезой взмахивала рукавами и из них появлялись белые лебеди. Мне приходит мысль попробовать сунуть что-то из еды в рукав, незаметно. Очень кстати — нелюбимая чёрная корочка хлеба, которую надо доесть, и я старательно сую ее в рукав фланелевой пижамы, на пижаме ягодки-землянички нарисованы. Сестра палит и обидно смеётся надо мной. Мне досадно, что эксперимент с незаметным засовыванием провален. Бабушка 1927-го года рождения читает мораль о важности и священности хлеба. Теперь я могу её понять, а тогда было просто обидно, ведь я не хотела дурного. 

Кажется, в тот же день, в доме прохладно и бабушке приходит идея посадить меня на верхнюю часть печи-шведки, где мы хранили всякую всячину и сушили валенки после прогулки. Я понимаю, что это не плита, и там не горячо, но мне страшновато, я прошу меня снять, бабушка снимает. 

Ещё один эпизод с бабушкой: по кухне бегает мышонок, бабушка оглушает его веником и… Отпускает в подвал, ей жаль его убивать.",,,ж,,3-4,,,,,,,,,,,,,,
732,Люба,Lyuba,"Жду папу с работы (он водитель на тот момент), сижу на диване и жду, когда во двор заедет белый жигуль по имени ""Маня"". Темнеет, и я беспокоюсь, что не смогу разглядеть машину, произношу шёпотом нараспев ""Маааааня"". И вот, автомобиль шустро заезжает во двор, папа вернулся! ",,,ж,1,1.5-2,,,,,,,,,,,,,,
733,Оля,Olya,"Большая квартира бабушки и дедушки, красный ковёр под ногами и большие окна сталинки, свет, который падает на стену.

Окна квартиры второй бабушки, скрипучая форточка и рекламный щит где-то вдалеке, который меняет надпись каждую секунду, вечером, меня это особенно завораживало.",,,ж,2,2.5; 3-4,,,,,,,,,,,,,,
734,Олег,Oleg,Встал на ноги и выглянул из детской кроватки.,,,м,1,1.5,,,,,,,,,,,,,,
735,Марина,Marina,"Я захожу в комнату, в которой нет мебели, кроме трельяжа, и стоят запакованные сумки. У зеркала сидит моя тётя, но я сомневаюсь: раз комната так изменилась, то, может быть, это кто-то другой, незнакомый. Я не решаюсь зайти. Но она замечает меня, подходит и обнимает.",,,ж,1,2-3,,,,,,,,,,,,,,
736,Лена,Lena,"Меня и сестру фотографирует мама, я стою на кровати в платье и с чупа-чупсом и кривляюсь.",,,ж,1,2-3,,,,,,,,,,,,,,
737,Надя,Nadya,"Как прыгаю вокруг новогодней ёлки в деревенском доме у бабушки, и она вдруг падает.",,,ж,1,2,,,,,,,,,,,,,,
738,Ваня,Vanya,"Жил на даче у бабушки с дедушкой и несколько раз просыпался ночами от одинакового страшного сна. Во сне была заставка канала Fox Kids и очень много шума. Просыпался я рядом со спящей бабушкой, и после кошмаров был страх, что в случае беды (которая точно случится) она не проснётся и не поможет.",,,м,1,<=4,,,,,,,,,,,,,,
739,Коля,Kolya,"Я стою в колыбели, держусь за поручни, по телевизору идёт заставка - будут показывать мультфильмы, за окном темно, ещё утро (заставка не менялась несколько лет, поэтому знаю, что была именно она).",,,м,1,1,,,,,,,,,,,,,,
740,Света,Sveta,"Меня везут на санках зимой по двору, я смотрю на небо и деревья.",,,ж,1,2-3,,,,,,,,,,,,,,
741,Таня,Tanya,"Мне исполнилось три года, и через месяц у меня родилась сестренка. А так как у мамы было очень много дел по хозяйству (жили мы в частном доме), мне доверили понянчиться с сестрой. Мама положила ее на кровать с панцирной сеткой и велела ее покачать. Помню, мне это занятие очень понравилось и я стала прыгать на кровати, как на батуте. Каково было удивление мамы, когда она увидела на полу спящего ребенка и прыгающую няньку...",,,ж,1,3,,,,,,,,,,,,,,
